,repl,TF
1201,저러다 ㄹㅇ남자가 바람피면개꿀잼 ㅋㅋ,0
1202,군시절 1호차 2호차들,0
1203,저래도 찍지 그렇지,0
1204,  같은 자국민이 아니니까 좆도 하루한끼 먹이고 하루종일 일시키고 개구리에 돌멩이 던지듯 쌍놈들 대가리에 돌던지고 여종들 돌림빵해도 양심의 가책을 받지않을수있는거임.,1
1205,"캠리하브도200할인있다이기야 음.. 연비야 차크기가있으니 캠리가좋다쳐도 그랜저 159마력이노.. 소나타도 160마력대로 힘딸린다는데 그랜저는 159마력이노.. 캠리는178마력이고,  흠.., 글쎄..",0
1206,역성장이 아니구,0
1207,썅년,1
1208,나름 아끼던 프레임인데 ㅠㅠ,0
1209,송파랑 성동도 포함해줘,0
1210,의새새끼들 다 기어 쳐나왔네디비자고 새벽같이일어나 일해라 노예놈들아,1
1211,신천지냐,0
1212, 서버는 php랑 mysql 책사서 공부하면서 만듬,0
1213,흙수저들에겐 이슬람은 극악이야보지 돈주고 사먹는것도 힘들고 인터넷 티비 통제당하고 여고딩 교복 눈요기도 못함술 담배 도박 게임 뭐 하나 맘대로 할 수 있는게 없음결정적으로 돼지고기도 못먹음,0
1214,샹놈,1
1215,미친새끼들 저거 사실상 외압이네 .. 청와대에서 공문보내면 불법아니냐?? ㄷㄷㄷㄷㄷㄷ,1
1216,그년,1
1217,스펄,1
1218,7등급은 가르쳐서 되는 게 아님. 그냥 멍청한 학생이 안배우는 거임.그리고 그 전에 문과 1등급 vs 이과 7등급 이랬던거 보면 그냥 이과부심 부리면서 주제모르고 나대는 병신일 듯.,1
1219, 중고신입인 경우 34~35살까지도 봤다.,0
1220,ㅋㅋ 고백이따구로 하면 망함 ㅋㅋ 찐따새끼들아 고백은 그냥 확인이야 ,1
1221,그놈들한테,0
1222,개병신세끼!,1
1223,퇴사하고 싶다며?,0
1224,얼마안가 자살당하시는거 아니냐,0
1225,민주당 배재정35.87% 무소속 장재원 37.52%,0
1226, 쟤가 용접공볼때마다 7등급이하 나보다 덜떨어진새끼라고 생각할거아님,1
1227,거시기,1
1228,혜경궁은 그냥 말만함. 실천을 안함 언론에 홍보비 주고 언플은 ㅈㄴ함,1
1229,그래서 지금 돈 벌고 있고 이번년도에 원서 넣어볼까 싶어서,0
1230,와 이젠 일베할떄 위도 살펴봐야겟네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ경찰이 수습한다고 폰 주웟는데 일베틀어져있으면 ㅈ되겟다 ,1
1231,맛없음,0
1232,추격자 도망자,0
1233,어르신들 표라도 빨기 위한 전략적인 행보에 불과합니다. 저러고 총선 끝나면 자기들 밥그릇 챙기기에 운운. ,0
1234,야박하고 인색한년들 존나많음 ㅋㅋㅋ 질투심도 강하고 ,1
1235,그지좆밥,1
1236,그건 니가 개보지년이어서 그런거 아닐까?,1
1237,빽자지,1
1238,조현같은알바가 고기집 서빙하면 손님많이오고 매출늘음 ?,0
1239,타고남 + 노력이라는데 일단 기럭지가 타고나서 ㅆㅅㅌㅊ,0
1240,그래서 씨발롬아 PC가 나쁘다는 거야 좋다는 거야?,1
1241,예배를 안드리면 영업이 되지 않아 망한다는 표현을 저리 어렵게 하는군요,0
1242,아가리 똥내로 객사할 듯,1
1243,ㅋㅋㅋㅋㅋㅋㅋ ㅅㅂ,1
1244,와!!!  이런걸 원했어요,0
1245,넌 어디살어?,0
1246,ㅈㅈㅂ드립  ,0
1247,앞에 어머니시냐? 가능하다고 전해드려라 ,0
1248,그거 본 놈들은 눈깔을 파야죠,1
1249,비위좋노 게이야 취존한다이기,1
1250,틀니,1
1251,개세이들,1
1252,개가튼넘,1
1253,사무라이 간지초딩들이 환장했지 ㄹㅇ,1
1254,이게 맞는 말이지,0
1255,토나올꺼다 당장 내년부터 전기차 요금 오르면  엘미지와 디젤 중간정도 연료비다 ,0
1256, 불합리한 공공의료정책은 니 뜻에 동조하는 의사들을 모아서 캠페인을 벌이든가 시민을 설득하고,0
1257, 불타는 연옥이 널 기다린다 이기야. ,0
1258,환경점검 공무원들이 다 그렇지 뭐ㅋㅋㅋ경찰들도 업소삥뜯는게 일상,1
1259,필력 괜찮겠습니까?,0
1260, ㄹㅇ 첨에 갔을때 여기한국맞나 싶더라,0
1261,일단은 표현의 자유로 남겨놔야하는 것 같음,0
1262, 너의 의견이 궁금한거임 ㅋㅋ,0
1263,용암 속에 들어가게 되면 일베손모양 유지해줘라.,0
1264, 진이 과거에도 대놓고 욕했으면 질투로 안보고 열등감으로 안봄 아직도 이해안됨?ㅋㅋㅋㅋㅋㅋ,1
1265,빠따로 전신마사지해주는데 모든사람들이 너무 기분좋았는지 엎드려서 잠만자더라,1
1266,18늠,1
1267,좋만,1
1268,자지 색깔이 검정인것이  말로만 듣던 전설의 오골개냐?,0
1269,유니클로에서 계산 대기하는데 와이프 애들이릉 같이 온 아재 날 존나 무섭게 쳐다보더라 보통 2초 이내로 쳐다보고 피하는게 정상인데 이 아재는 3번 쳐다보더라 ,1
1270,빨자좃,1
1271,쓸데없이 공무원들 일시켜서 강력한 유감의 뜻을 표한다 ㅁㅈㅎ,0
1272,전한길 아니다걔는 이미 유명해서 다 아는데 뭐하러 말해,0
1273,좆같,1
1274,부모님도 노무딱 좋아하시고..,0
1275,빠라조,1
1276,절에서 키우는개 아님?티비에나온개 같다 게이야,1
1277,사카시,1
1278,구미냐?,0
1279,보지도 압축해 제공하라,1
1280,ㅈㅈㅂ ㅁㅈㅎ 25렙게이가이걸?,0
1281,이건 김성령이지 ,0
1282,지금의 정부는 다 계획이 있구나~,0
1283,음란,1
1284,짤 ㅇㅂ,0
1285,세상이 바뀌면 거기에 맞춰서 기술도 발전해야지손기술은 필수고 그라운드 기술을 쓰지 않더라도 방어하는 방법을 연구해야하지 않을까?....,0
1286,도요타방식 ,0
1287,오나니,1
1288,3000이면 데렉 지터 안타하나 칠때마다 떡을 친거네 ,0
1289,4칙연산 공부중,0
1290,삼성전자 부장으로 퇴사했는데 떡볶이 장사한다고?? 말이 됨? 글로벌 초대형 기업 디렉터급 출신이 퇴사했다고 할 일이 그것밖에 없냐 좃나 무능한가보네 ,1
1291,똑같이 해줘라. 쫌,0
1292,한달간 진짜 밥먹고 총쏘고 밥먹고 총쏘고 ,0
1293,비싸게 판게 아니라 정가에 파는게 뭐가 문제냐? 게이는 무슨일 하길래? 지인한테 싸게 사려는 기생충 집단이 되지말고 이왕 같은가격이면 지인을 도와준다는 마음으로 사주는 리더 집단이 되어보자 가령 식당가서 사장이랑 친하니까 깍아달라 노가다 뛰는데 친하니까 일당좀 깍아서 해달라고 하는거나 마찬가지임. 친구는 자신의 일에 자부심을 갖고 일하는것 같은데 뒤에서 욕하진 말자 진심으로 대하면 언젠가는 다 돌려받는다 게이야,1
1294, 전기로 배터리 충전하면 전기차,0
1295,좆,1
1296,신호 안받다가 뒤졌음 좋겠냐?,1
1297,근데... 한쿨님... 비아x라... 나.... 로또 관련 엄청 많이 보셨나봐요 0- 중간 중간 광고가... 껴있는게 ㅎㅎ;;,0
1298,쌍연,1
1299,이사한번하면 몇년치가 쌓여버림,0
1300,고추 잘라삐자,1
1301,애초에 제작진에서 맹승지 캐릭터를 떼쟁이 ㅈ폐급으로 작정하고 잡았네 소속사에서도 준비물 그렇게 해오라고 주문한 듯... 진사출연 전에 한창 포텐 터진 유망주였는데 안타깝네,1
1302,멍청한 년,1
1303,님아 그거 앎?님 이름 석자 중국어로 읽으면 비슷하게 들림 ㅋㅋㅋㅋㅋㅋ,0
1304,과거로 돌아가서 그래봤자평행 우주라서지금의 넌 그대로이니 아무 변화없어. 헛생각 말아 ㅋㅋㅋ,0
1305,저사람도 최소 월3천은 벌텐데꼴랑 9급하겠다고 저기 앉아있는 쟤네들이 얼마나 같잖아보일까,0
1306,당근이쥐!,0
1307,씹쒜,1
1308,비연예인은 어디서 만났을까?,0
1309,기능고장! 두부고장!,0
1310,하나같이 다 개좆같이 생겼네 pc주의자들이 저런 짓거리 앞장섬,1
1311,돈고 생기고 친구도 얻고 요즘들어 보기힘든 장면인데 ㅊㅋㅊㅋ 입니다,0
1312,우주의 기운이나 받아라 멍충아,1
1313,월수익 36억이랑 편집자 월급이랑 무 슨상 관이냐 ㅋㅋㅋ더 버니까 더 내놓으라는거? ㅋㅋ 전라도 마인드 보소 ㅋㅋㅋ,0
1314,ㅠㅠ나왜그렇게칭찬해..,0
1315,그냥 너가 못배워 쳐먹어서 해석을 병신같이 한건데,1
1316,진짜있는거임?,0
1317,니어메,1
1318,병신안동이야말로 감주(단감 술주 단술)와 식혜가 엄격하게 구분된 곳인데...서울촌놈이 말하는 식혜가안동에서는 감주다.,1
1319,@반일반북 ,0
1320, 은혜복음을 기록한 성경은 로마서 ~ 빌레몬서 까지다. 그 이외에 쓰여진 명령은 교회시대 사람들이 지켜야 할 구절이 아니다.,0
1321,버티어라 이탈리아...ㅠㅠ,0
1322,순위조작은 자세히는 모르겠고 음원차트 주작은 엑소 팬들이 열심히 스밍 돌리는데 뭔 이상한 놈이 1위 계속 먹길래 엑소팬들이 그 1위 먹는 놈 차트 상승수 까보니까 밤만되면 조오오온나 올라감 주작한 새끼 털고나니까 4개월 전에 갑자기 급상승해서 1위한 새끼도 주작으로 올렸댜는거 잡아냄ㅋㅋㅋㅋ,1
1323,힘있어도 저지랄하는건 똑같을듯?,0
1324,와 씨발 상상불허,1
1325,진중권은 사랑입니다.,0
1326,이땅에 진정한 보수가 나와으면 좋겠다,0
1327,코로나 19 때문에 취소가 된다면 경제적으로 진짜 거지될 듯..,0
1328,sex,1
1329,닭고기 맛,0
1330,그냥 안봐도 보임좌파=돈앞에선 같은편이고 뭐고 없음,1
1331, 알릴레오 뉴스공장도 구독할거임,0
1332,그럼 꼽아 놓고 하면 좆질로 분수 가능?,1
1333,"데리고 와서 혹시나 성공 못해도 EPL 홈그로운에 23살이라 타 클럽에 판매만 해도 바이백 금액 이상으로 돈 회수할 수 있음산초 영입 떠나서 무조건 데려와야 함 사실상 다음 시즌에 윌리안, 페드로가 아웃이면 풀리식, 오도이 밖에 없음",0
1334, 날짜를 못박으면 안되는데  울컥해서 좀 지나쳤다  ,0
1335,호랑이 저건 새끼라서 그렇지 성체가 되면 100% 지가 처먹음.원래 맹수들도 털 복실복실 할 때 순수하기 때문에 친구가 됨.사냥감을 인식하기 시작하면 ㄱㅐ씹죶간이고 뭐고 지 눈에 안보임.,1
1336,와 부럽노..,0
1337,그리고 다시는 원래대로 안 돌아 감.,0
1338,조국 사태보면 박탈감 느낄만하지 근데 백수새기들은 그냥 노력안해서 취업못하는거,0
1339,씸년,1
1340,현금이 많으면 노인들 죽었을때 청소업체에서 꿀꺽하는돈도 많겠네 개꿀,1
1341,그냥 니가 개소리하니까 나도 개소리한번해봤다고하면되자나,1
1342,덕분에 좆중딩~20대 까지 클론 양ㅋ성ㅋ,1
1343,"베트남도 똥남아에서 한가닥 하는 나라 아니냐? 미국,프랑스,짱깨도 몰어낸 나라잖노?",1
1344,젊은 시절 누드 봤다이기야 딱좋다이기,1
1345,이게 다 빨갱이 때문이라 할겁니다,1
1346,미국도 중국 파산하는걸 원하지는 않을걸,0
1347,나 거기에다 합성아니라고 했어,0
1348,빨리 니 몸부위중 가장 풍성한곳을 문지르며 '나는풍성충' 이라고 세번 말해야  지금있는 모근이라도 지킬수 있음  -찐-,1
1349,스패킹,1
1350,짱깨들 말하는 거임? 짱깨국이 무상의료라고?,1
1351,빠러,1
1352,노무 슬프노 ㅠㅠ,0
1353,"그게다 남부유럽 대표 감성충들인 이탈리아, 스페인애들이 이민 많이 가서 그래. 신대륙에 산업시설은 커녕 허허벌판 밖에 없는데 가서 노조질부터하고 분탕치고댕김",0
1354,박보검 vs 서강준 ,0
1355,씹,1
1356,지려라.,1
1357,그시간에 뉴스보기도 바쁨....  ,0
1358,ㅈㅈㅂㅁㅈㅎ,0
1359,블알,1
1360,개젖,1
1361,ㄷㄷㄷ 이래도 간첩이 없다고??,0
1362,에효.. 니 직장이나 스와프해라 빙시나. 쪽팔려 어디 앞으로 글이나 써지겠냐. 종양이면 좃선이나 동악일보랑 스와프하면 되겠네. ㅉㅉ,1
1363,나 시골사는데 시골이 공기더좋은거 맞는데 ㅋ,0
1364,I can do this all day,0
1365,너도 삽자루세대노,0
1366,명박놈 방송,0
1367,@봉봉주세효 ㅋㅋㅋㅋㅋㅋㅋ,0
1368,죄인아 너만 부엉이바위가서 뒈져주면 국민대통합된다남북통일도 되고제발 가라 부엉이바위로,1
1369,이정재: 아~이러면 나가린데...,0
1370,좃 때라 쫄보새퀴야,1
1371,집에 롱 패딩만 세 개다. 10년 더 입어야지 ㅋㅋ,0
1372,남조선 노동당,0
1373,꼭 보면 엠생/백수/모쏠아다/그지새키일수록 얼굴에 집착을하더라 ㅋㅋㅋ,1
1374,일본어는 네이티브정도는 아니지만 회화는 꽤나 할 수 있다고 자부함,0
1375,"복지로 임직원카드,카페테리아 포인트 매달 10마넌,사내이자 1프로 대출, 본인부담 실비보험 전액지원, 자녀대학등록금전액지원, 경조사비, 장례비용까지 전액지원, 콘도 리조트 이용시회사부담 60프로, 제주도여행시 차량무료렌트, 메달 영화표 2장, 통신비 지원 등등등 복지는 이정도?",0
1376,온 나라가 미친사끼들로 덮였네.,1
1377,염병,1
1378,보나마나 전라도 ,0
1379,저런년들  팅기다가  일단 빠구리 시작하면  신들린듯이한다   ,1
1380,조센도 만만찮아얼마전에 일가족 모두가 보험사기쳐 보험금6억을삥땅한 일도 있었는 데 저건 암껏도 아님보험사기를 중형으로 다스리는 선진국에 비해솜방망이만 휘두르는 개판判 부터 조져야 함 ,1
1381,내친구도 용접공인데 보호장비 드립치면서 괜찮다 하던데 무용지물임?,0
1382,응 그거 말고 전기차 요금제가 따로있음.  경부하시간대에 절반 이하 가격임.,0
1383,걍 부산앞바다에 빠져서 죽어라 왜 사냐?? 어휴,1
1384,맞음 이새끼 ㅈㄴ 죽여놔도 시간 지나서 cs쳐먹고오면 존나쎔,1
1385,븅신 보빨련 ㅁㅈㅎ나 쳐먹어라 이기,1
1386,지디게이 크루한테 담굼질 당해봐야 정신차리겠노이기,1
1387,예전에 일베에서 본거 세계 유흥글 싸던 게이 어디갔노,1
1388,진짜 비행기만큼 시행착오많이 격은 대중교통이 있을까?창문 네모낳게 만들었다가 모서리 크랙가서 공중분해.동그란 창문안에 구멍조금 안뚫었다가 압력으로 공중분해.짐 넣는곳 뚜껑설계미스로 공중분해60년대부터 70년대까지 여객기 베타테스트였음.,0
1389, 넌 좋은곳만 다니니 알 턱이 있나~,0
1390,그만 부들거려 노가다새끼들아,1
1391,븽딱,1
1392,빠굴이,1
1393,포인트 회수 처리함,0
1394,고기자영업자다저거 사장이 미친년이 분명하다,1
1395,뺘큐,1
1396,자위녀,1
1397,0랩 새끼들은 닥치자,1
1398,개쒜리,1
1399,인두루 지지고 오면 해줍시다~,0
1400,이거 니들이 운전면허 필기 시험볼때 공부 안하고 쳐봐서 그래시발 나는 공부 존나 해서 저런거 까지 아직도 기억한다,1
1401,ㄸㄷㄸㄷ,0
1402,엑소 중국놈들이 통수쳐서 그후로 sm에서 중국국적 제대로 안키우더만.  아무튼 아이돌 산업 그거 생 구라 아니냐. 저 새끼들 중에 안쳐대고 다니는 놈 없을걸.  저런데 돈 쓰는게 병신호구지.  유사 연애감정으로 돈 버는 주제에 한번에 임신에 결혼까지 해버리네.당연 팬들 입장에선 빡치지.  아무튼 이런걸 알아서인지 제대로 된 남자는 딱히 좋아하는 연예인 없음.,1
1403,불법놈이랑 박았어야지,1
1404,자막도 마이너감성 ㅋㅋㅋㅋㅋ,0
1405,불심으로 대동단결 아직도 기억에 남는다,0
1406,지랄 자동으로 하지,1
1407,졸래,1
1408,한가인....,0
1409, 비번조합만들면 무적임 ㅇㅇ,0
1410,캐치미이프유캔 ㅇㅂ,0
1411,헤드기어 어쩔때 쓰는거고 어쩔때 안쓰는거임 ㅇㅅㅇ??,0
1412,주님의 경륜이 아니면  불가능한  표적 이자나,0
1413,김주하 이런사람이 앵커를 맡는다는게 아이러니 이자 한장의사진에 어울린다 도대체 왜?? 이딴 앵커가 ??,0
1414,ㅋㅋ 얘 귀엽다 개따먹고싶네,1
1415,와 시발 고소영보고 슨상합성인줄 알았다,1
1416,"괜히 서울시장 박한테, 대선때 문한테,국민의당 박한테,바른미래 유,손한테 등골까지 빨아 먹혔겠냐",0
1417,진짜 페미가 가능하긴 하냐?이상적인 공산주의 사회주의처럼 이상만 좋은 불가능한 사상아닝?,1
1418,쓰레기는 쓰레기통으로! 고생많으십니다!,0
1419,ㅇㅇ가서 대가리 깨버릴거임,1
1420,누나 내 쥬예즤 주겅..,1
1421,저의자 내구도 존나 의심됨ㅋ글고 바닥에 고정도 아니네대가리가 있으면 저딴걸 설치할리가....,1
1422,얼마전에 일본가는데 옆에 전투기붙던대 ㄷㄷ 존나 신기했음 ,1
1423,솔직히 울나라에서했으면 개꼴렸을듯...,1
1424,집앞에 두고 가면 내가 혹여 바빠서 좀 늦게 가지러 나가도 집 앞에서 물건이 신선도 유지하면서 안전하게 잘 기다리고도 있지요.. 종이봉투에 담긴 쓱 배송 내용물 조차 누구 하나도 무엇 하나도 집어가지 않고 그냥 그대로 두던데요 ㅋㅋㅋ,0
1425, 공산주의는 망해서 없어진것임,0
1426,썅연,1
1427,아니 김씨도 그냥 컨셉이지 실제 산업역군이라고 생각하는 병신이 어딨냐일하러 갈때마다 인간 쓰레기 취급 받고 구석자리 아무대나  오줌싸고 함바집에서  거지같은 밥이나 먹고나서 햇볕잘드는곳에 앉아있으면  머리가 멍해지는게 매일 매일 일상인데,1
1428,구멍,1
1429,한번씩 바람쐬러 일본가는 데 일본 가보니깐 동네마다 복싱 체육관이 있더라 오사카 나니와구 가니깐 존나 후미진 공단에도 복싱체육관있음 진짜 울나라 80년대 쓰던 파랑색 날개 처 돌아가는 선풍기 하나 달린 개거지 같은 체육관에서 복싱하고 있는 거 봤다 개쪽바리 새끼들보면 복싱 엄청 좋아하는 듯복싱만화도 많고 이렇게 복싱 씹덕들이 많으니 발달 할 수 밖에 없는 것 같은데 그래봤자 뭐하냐핵폭탄 처 맞고 살가죽 녹아내린 새끼들인데,1
1430,뭔일하길래 이민갔냐,0
1431,몇 급인데? 공무원 개 땡보라고 오늘도 기사 떴드라. 뭐가 적성에 안맞는데??,0
1432, 병신 빡대가리 반일국뽕 수준 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
1433,"백인.황인.흑인 구분은 외모로 하는게 아니라고. 인류학이나  유전공학이 미발달했던 19,20세기에나 당장 눈에 드러나는 특징인 외모로 구분했던거지 핀란드,헝가리인도 황인에 속하는거 알면 기절하겟네 이친구 ㅋㅋㅋ",0
1434,"맞는말인데 통레발은 이제 믿기가 힘듦,,",0
1435,걔시키,1
1436,닭끄네  최초로 탄핵당한 멍청하고 병신같은 개보지^^,1
1437,구라때리고 있네 남자구만,1
1438,자칭 명예백인이라고 주장하는새끼들인데 뭐 ㅋㅋㅋㅋㅋ,1
1439,"통수쳐서 300인가 받았는데,개꿀 어차피 볼일도 만날일도 없음 ㅇㅅㅇ",0
1440,뒈질,1
1441,호로색끼,1
1442,ㄱㄴ,0
1443,스티브잡스같은 혁신가가 왜 팀쿡같은 고리타분한 관리자형 인간을 CEO로 맡겨는지 이해가 간다,0
1444,쌉년,1
1445,다른 개잖아. 코주변 털색 비교해봐라 다른 개임,0
1446,유부우동 안먹었노,0
1447,어딘데그리싸노,0
1448,영어준비해서 탈조선해라.,0
1449,그리고 뼈 하나 더때리면 여론조사 별거 아니라고 우기는 틀많은데 이석기경기연합 어쩌고 그것도 여론조사 조작 결국 정당해산까지 간거임 선거는 민주주의꽃이라서 엄격함 닭이 여왕마인드 조선시대머리라 막한거지,1
1450,"ㄹㅇ 시발 그냥 ""다른 진로 생각해 보세요""라고만 했어도 욕 안처 먹었지.",1
1451,@봉봉주세효 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
1452,트리차다는 진짜 존나 예쁘다..,1
1453,일베놈들 이참에 박멸가즈아~~~,1
1454,작가님,0
1455,세끼,1
1456,쓰레기,0
1457,사실 법이 그런데 어쩌라고,0
1458,미틴년,1
1459,젓밥,1
1460,바키 다봤는데 그걸 왜 못봤지,0
1461,지랄도 풍년이다,1
1462,"천주교는 하느님의 개념이 좀 더 넓은 편이라, 외계인이 있거나",0
1463,아 정말 tv 이쁘고 귀여운애들만 나왔으면 좋겠다. 쉰것들 쫌!!!,1
1464,역시 브레이킹은 참 어렵고도 심오한 영역이네예 *.*;;,0
1465,일베충하는거보다 나음 유익하게삶,0
1466,코노야로!!!!!!,0
1467,에휴...대구빡들....,1
1468,?,0
1469,20군번중에 쟤들이 최고참이다 이기,0
1470,"니놈은 노숙자와 범죄자들한테 윤간당한 니 에미가 싸지른 좆물쓰레기고ㅋㅋㅋ ^,.^",1
1471,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ,0
1472,감독봐;;,0
1473,죽을래,1
1474,벌레들 ㅉㅉ,1
1475,!!!!!!!!,0
1476,에휴 종교 관한 글은 안보는게 답 그냥 볼때마다 기분만 잡침 ..,0
1477,좆대가리,1
1478,신경쪽에 문제가 생긴 것.,0
1479,짱깨유학생한테 들었는데 지들도 지네나라 식품 못믿어서 저러는거라카더라. 비닐포장되어있는것도 다 찢어서 만져보고 산다고함 ㅋㅋㅋㅋㅋㅋ,1
1480, 그리고 중견이하 중소 좆소는 솔직히 복불복이야.,0
1481,붕시나,1
1482,죄송합니다...ㅜㅡ,0
1483,"세금 내놓으라고 데모질 중 ㅋㅋ간첩, 도둑놈 새끼들이 대통령 해처먹으니까  나도 같이 해먹자며 나라 전체에 도둑놈만 득실거림 ㅋㅋ품종도 도둑질하는 조센진들",1
1484,힘내시길,0
1485,모쏠아다 29년차인데아직 희망있으니 더 밀어붙여라 진심이다,0
1486,댕댕이 표정봐라 구해달라는 표정이다 주인한태 문자 보내고 목줄 좀 풀어주고 집으로 댈고가서 주인오면 보내라 그래도 안오면 유기견 보호소로 보내고,0
1487,십질,1
1488, 자기들 밥줄인데?,0
1489,현재 모든 헬조선인은 양반 노비 양쪽 dna를 전부 갖고 있음 굳이 양반노비 나눌필요가 없음 노비인구가 압도적으로 많은 나라였으니 노비의 dna를 더많이 가졌겠지 노비종족이라고 봐도 무방함 양반후손입네 하는게 다 지랄육갑떠는거에 불과함,1
1490,사다가 구워 먹으면 되는데그것조차 귀찮은건가? ,0
1491, 이게  애들 가르친다는 사람이    넌 공부 못하니까  다른거 알아봐 라는 마인드가  깔려있으니..,0
1492,복싱에선 여태 일본이 많이  쳐발렸다..,1
1493,닌 어딘데 중앙대무시하냐 확 쑤셔불랑게,1
1494,오호 이거 맞는 둣,0
1495,지방도 번화가는 잘되더라. 번화가 아닌곳만 뒤지는거지 ㅋㅋ,0
1496,변절자 ㅁㅈㅎ,0
1497,예능은 다 쇼야 ,0
1498,조카툰,1
1499,청소부 : (에휴 쓰레기가 늘었군),0
1500,그런 케이스는 아직까진 결혼하고싶지 않나보지우리나라 연예인들도 그 연령대라도 결혼 안하는 경우 제법 되고,0
1501,쓰팔,1
1502,스타워즈 클론 전쟁 씨발년아,1
1503,10~20년후 법무장관 후보 ㅇㅂ,0
1504,네이버 답없음 야후 롤백해야될판,0
1505,무현이는 인권없는겨?,1
1506,아이나꼬 딸라가 말라끼 띠띠 마간다나 아이나꼬 딸라가 아농기낭 가와모  아떼 마사낏 챤  왈라나 빼라 모  ,0
1507,요즘애들한테 옥상 뛰어다닌썰 풀면 틀딱취급 받겠노,1
1508,전형적인 애미 씹뒤진 일베충새끼네,1
1509,외교부 영상가보면 벌레들 몰려와서 정신승리중 ㅋㅋㅋ,1
1510,맞습니다 맞고요 ,0
1511,체온이 사람이랑 똑같다잖아,0
1512,ㅁㅈㅎ,0
1513,삽자루가 뭔 우파여 또라이인가,1
1514,"여친먹는거 한 입 먹어밨는데 좀,,,,국물은 갠탆앗음",0
1515,1억2천,0
1516,인제 기레기 ,1
1517,뱅싄,1
1518,누구긴 누구야 너지 씨발아 ㅁㅈㅎ,1
1519,"결혼 9년차보험료, 공과금 같은거 공동 생활비 통장에 넣는거 빼고는각자 수입 각자 관리함",0
1520,뽀쮜,1
1521,근데 과거 태평양 전쟁때 미국도 조선을 저정도로 생각했겠지근데  미국은 정말 지구반대편 이런나라에 170만명을 보내다니 정말ㄷㄷ  감비아가 전쟁중인데 우리나라가 저정도 보낼 수 있을라나,0
1522,몸파는,1
1523,쓰발,1
1524,"이게 뭔,,, 개소리야... 아오...",1
1525,음식전부 원단가 솔직히 1만5000원 절대 안넘는다 목아지 건다,0
1526, 교사한테는 학생이 제자지만,0
1527,저렇게 아무렇지도 않게 살수 있을까?,0
1528,대하이햄만 찾으면 협상 OK,0
1529,솔직히 이육대편 딱 하나는 b급 컨텐츠로 재밌게 볼 수 있고 공감을 얻을만했다고 생각하는데 이전/이후로는 씹노잼에 뭔 재미인지 알수가 없음 펭수 자체의 드립력도 노잼이고 컨텐츠도 노잼임,1
1530,지디의 수많은 팬들을 감당할 수 있겠냐?,0
1531,아... 내 감동 물어내,0
1532,처녀막,1
1533,"에도시대 막부가 세운 에도 의학관에서 나온 의학 책, 인중황(人中?)이다.",0
1534,착해졌노,0
1535,뭔소리야 단순히 일본이그렇게 잘났으면 일본이 다 1등해야지 삼성한테 다지는데 뭐가 일본이 잘나가,0
1536,다음병신같은한자쓰는 미개한좆샌징새끼,1
1537,큐브스테이크덮밥 시켜도 저거보다 고기 많겠다,0
1538,18아,1
1539,거기 조선인들 스탈린이 강제이주시켯고,0
1540,브랄,1
1541, 암튼 좀 미련이 남아있다면 너나 와이프 둘중에 하나가 어학연수라도 하면서 직접 경험해 보길 추천,0
1542,넌 직책이 뭐냐,0
1543, http://www.ilbe.com/view/11224594279,0
1544, 그럼 그 정도가 같을 것 같냐?,0
1545,이석기 옹호했다면서 ㅋㅋㅋ 그걸 설명을 해야지 단편만가져와서 우기는건 노인정용임,0
1546, 그럼 20에 사는게 아니지 ㅋㅋ,0
1547,조까라,1
1548,그래서 자지짜르고 한국와서 에이즈퍼뜨리고 돈벌고가는건가? 태국년들 뭔가 김치녀와 성격이 너무달라서알고보니 남자새끼들이었군,1
1549,"일로 만난 사이, 이해관계로 얽힌 사이에 함부로 인정을 베푸는 게 잘못이지..",0
1550,ㅋㅋㅋ 애쓴다 ㅉㅉ,1
1551,레토나크루져 타고있는 1인입니다 ㅎㅎ,0
1552,성체위,1
1553,자료 이해 하나도 못하면서 퍼오는건 잘하네-ㅁ-;;,1
1554,이쁜 김치녀인거 빼고는 상대가 안됨 ㅋㅋ현우진 저사람 스탠퍼드 수학과 ㅋㅋㅋㅋㅋ,1
1555,난데 나도 키 165  ㅋㅋㅋ 머리만 반삭임,0
1556,빙쉰,1
1557,그건 기술자가 아니라 기사다 개병신아 제발 좀 ㅋㅋ,1
1558,니 보고 그러는게 아니다...여기 보면 개 싸가지 새끼들 많지...노인을 공경하는것과 예의 없는 나이 많은 사람을 상대하는것은 분명 다른거지...,1
1559,군 생활의 고통을 공감하기 위해서 입대하는 여친은?,0
1560," 살아남음,나도 복지정책에 반대하지는 않음",0
1561,서열1위네 좆냥이 찍소리도못함ㅋ,1
1562,존나귀여워...,1
1563,18쉑,1
1564,얼마 안남았다3년 뒤부터는 아빠같은거 없어도 전혀 지장없이 잘산다,1
1565,백선엽vs김구누가 더 존경받아야하냐?,0
1566, 존나 무식하고 인간 말종들,1
1567, 7등급이면 공부할 머리도 의지도 없는 좀비들이야.,1
1568,필리핀에 코로나 확산 조짐이 있다고 하던데...,0
